1549292488.94,1549292490.43,5_3,9_0,5_2,1_1,6_3,10_1,9_0,5_2,1_1,6_3,10_1,9_0,5_2,1_1,6_3,1549292488.581286,1549292491.889601,5_2,False,1549292491.889649,1549292491.889649
1549292505.99,1549292507.67,4_1,4_2,1_1,5_1,6_3,4_1,4_2,1_1,5_1,6_3,4_1,4_2,1_1,5_1,6_3,1549292505.847722,1549292508.229002,4_1,False,1549292508.229166,1549292508.229166
1549292516.46,1549292517.93,4_2,4_1,5_1,1_1,9_0,4_2,4_1,5_1,1_1,9_0,4_2,4_1,5_1,1_1,9_0,1549292516.079833,1549292518.415495,4_1,False,1549292518.415548,1549292518.415548
1549292528.38,1549292529.52,5_1,9_0,5_3,10_3,10_2,5_1,9_0,10_1,10_3,10_2,5_1,9_0,10_1,10_3,10_2,1549292527.673639,1549292530.129536,9_0,False,1549292530.129585,1549292530.129585
1549292536.17,1549292537.44,10_3,10_2,9_0,1_2,6_1,10_3,10_2,9_0,1_2,6_1,10_3,10_2,9_0,1_2,6_1,1549292535.644571,1549292540.533819,9_0,False,1549292540.533902,1549292540.533902
1549292547.15,1549292549.26,5_3,9_0,5_1,2_0,6_3,10_1,9_0,5_1,2_0,6_3,10_1,9_0,5_1,2_0,6_3,1549292547.409226,1549292555.102795,9_0,False,1549292555.102848,1549292555.102848
1549292569.15,1549292570.59,5_3,9_0,5_1,6_3,5_2,10_1,9_0,5_1,6_3,5_2,10_1,9_0,5_1,6_3,5_2,1549292568.737261,1549292572.982907,9_0,False,1549292572.982957,1549292572.982957
1549292577.29,1549292579.08,5_3,6_3,9_0,5_1,1_1,10_1,6_3,9_0,5_1,1_1,10_1,6_3,9_0,5_1,1_1,1549292577.2364,1549292586.681565,9_0,False,1549292586.681615,1549292586.681615
1549292592.72,1549292594.55,6_3,5_3,5_1,1_1,4_1,6_3,10_1,5_1,1_1,4_1,9_1,6_3,10_1,5_1,1_1,1549292592.705566,1549292595.841925,9_1,False,1549292595.841998,1549292595.841998
1549292607.85,1549292609.08,5_1,9_0,5_3,10_3,10_2,5_1,9_0,10_1,10_3,10_2,5_1,9_0,10_1,10_3,10_2,1549292607.234199,1549292610.162237,5_1,False,1549292610.162375,1549292610.162375
1549292615.65,1549292616.79,5_1,9_0,5_3,1_1,6_3,5_1,9_0,10_1,1_1,6_3,5_1,9_0,10_1,1_1,6_3,1549292614.937315,1549292616.816553,5_1,False,1549292616.816636,1549292616.816636
1549292620.93,1549292622.32,9_0,5_3,6_3,5_1,6_4,9_0,10_1,6_3,5_1,6_4,10_0,9_0,10_1,6_3,5_1,1549292620.468533,1549292623.416608,9_0,False,1549292623.416651,1549292623.416651
1549292627.22,1549292629.02,6_3,5_3,5_1,1_1,9_0,6_3,10_1,5_1,1_1,9_0,9_1,6_3,10_1,5_1,1_1,1549292627.175651,1549292630.24983,9_1,False,1549292630.249898,1549292630.249898
