2018-07-30 18:21:05.998000

11_1_S5_L6_X_StdOne.xef :  [num_images: 1738, video_time: 91.5779999905, FPS: 18]
11_2_S5_L6_X_StdTwo.xef :  [num_images: 1607, video_time: 84.0619999523, FPS: 19]
1_1_S5_L6_Scroll_Up.xef :  [num_images: 2067, video_time: 110.694000141, FPS: 18]
1_2_S5_L6_Scroll_Down.xef :  [num_images: 1629, video_time: 86.0360003433, FPS: 18]
2_0_S5_L6_Flip_X.xef :  [num_images: 1745, video_time: 91.4289999809, FPS: 19]
2_1_S5_L6_X_Horizontal.xef :  [num_images: 1530, video_time: 81.0670000496, FPS: 18]
3_1_S5_L6_Rotate_CW.xef :  [num_images: 1988, video_time: 106.750999949, FPS: 18]
3_2_S5_L6_Rotate_CCW.xef :  [num_images: 2107, video_time: 112.823999985, FPS: 18]
4_1_S5_L6_Zoom_In.xef :  [num_images: 1733, video_time: 93.2260002155, FPS: 18]
4_2_S5_L6_Zoom_Out.xef :  [num_images: 1675, video_time: 89.3200005512, FPS: 18]
5_1_S5_L6_SwitchPanel_Left.xef :  [num_images: 1737, video_time: 92.0229997578, FPS: 18]
5_2_S5_L6_SwitchPanel_Right.xef :  [num_images: 1301, video_time: 68.382000288, FPS: 19]
5_3_S5_L6_SwitchPanel_Up.xef :  [num_images: 1485, video_time: 79.9529999638, FPS: 18]
5_4_S5_L6_SwitchPanel_Down.xef :  [num_images: 1715, video_time: 90.2379999142, FPS: 19]
6_1_S5_L6_Pan_Left.xef :  [num_images: 1723, video_time: 91.2509995232, FPS: 18]
6_2_S5_L6_Pan_Right.xef :  [num_images: 1814, video_time: 97.7619999771, FPS: 18]
6_3_S5_L6_Pan_Up.xef :  [num_images: 1814, video_time: 97.6799997215, FPS: 18]
6_4_S5_L6_Pan_Down.xef :  [num_images: 1715, video_time: 90.667, FPS: 18]
7_1_S5_L6_Ruler_Measure.xef :  [num_images: 2461, video_time: 131.609000162, FPS: 18]
8_1_S5_L6_PIW_Open.xef :  [num_images: 1981, video_time: 106.26699999, FPS: 18]
9_0_S5_L6_ManualContrast_X.xef :  [num_images: 1605, video_time: 87.0799999828, FPS: 18]
10_0_S5_L8_Layout_X.xef :  [num_images: 1613, video_time: 86.14000037, FPS: 18]
